tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
317.00;8382328#0_0;261.65;6.83;55.00;0.64;-121794825#2_0;5.10;0.00;tripinfo_63;262.00;63;0;1228.75;0.87;0.00;39.63;DEFAULT_VEHTYPE;;0;0.00
317.00;150275991#0_0;27.02;8.17;228.00;0.96;244422544#0_0;5.10;0.00;tripinfo_307;89.00;307;0;634.72;1.05;0.00;14.97;DEFAULT_VEHTYPE;;1;1.00
317.00;290174551#1_0;5.51;6.34;261.00;0.72;150275999#0_0;5.10;0.00;tripinfo_349;56.00;349;0;312.90;0.90;0.00;7.99;DEFAULT_VEHTYPE;;0;0.00
324.00;1053478469#1_0;29.35;6.40;28.00;0.52;1193930026_0;5.10;0.00;tripinfo_34;296.00;34;0;1499.45;0.80;0.00;78.01;DEFAULT_VEHTYPE;;2;41.00
325.00;159636085#1_0;3.58;7.05;82.00;0.32;-524150342_0;0.20;0.00;tripinfo_94;243.00;94;1;1575.93;0.89;0.00;27.35;DEFAULT_VEHTYPE;;1;1.00
325.00;220267105#4_0;40.07;7.87;250.00;0.16;70724346#0_0;5.10;0.00;tripinfo_322;75.00;322;0;559.52;1.02;0.00;8.10;DEFAULT_VEHTYPE;;0;0.00
326.00;4392761#3_0;122.42;12.29;96.00;0.48;31518959#0_0;5.10;0.00;tripinfo_116;230.00;116;0;1573.72;0.90;0.00;24.01;DEFAULT_VEHTYPE;;0;0.00
326.00;1083809476#0_0;72.33;9.46;131.00;0.44;856293281_0;5.10;0.00;tripinfo_173;195.00;173;0;2895.96;1.17;0.00;12.68;DEFAULT_VEHTYPE;;0;0.00
334.00;8385415#1_0;276.30;8.27;208.00;0.60;62020117#0_0;5.10;0.00;tripinfo_270;126.00;270;0;1385.99;1.10;0.00;14.54;DEFAULT_VEHTYPE;;0;0.00
334.00;399914534#0_0;72.38;9.05;291.00;0.40;4730651_0;5.10;0.00;tripinfo_380;43.00;380;0;367.63;1.19;0.00;5.17;DEFAULT_VEHTYPE;;0;0.00
335.00;119180322_0;109.44;7.16;220.00;0.40;4441059#1_0;5.10;0.00;tripinfo_305;115.00;305;0;1026.69;0.91;0.00;14.97;DEFAULT_VEHTYPE;;0;0.00
339.00;119180322_0;109.44;9.62;141.00;0.32;17670100#2_0;5.10;0.00;tripinfo_169;198.00;169;1;1594.09;1.19;0.00;27.19;DEFAULT_VEHTYPE;;1;3.00
