interval_begin;interval_end;interval_id;edge_arrived;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_left;edge_sampledSeconds
0.00;3600.00;0_to_3600;0;0;0;-654207094;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-654207097#1;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-654207098#1;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-654207105#0;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-654207105#1;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-654207105#2;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-654207105#3;0;0;0;0.00
0.00;3600.00;0_to_3600;16;0;25;-654207120;0;0;9;42.43
0.00;3600.00;0_to_3600;0;12;3;-654207122;0;0;15;37.67
0.00;3600.00;0_to_3600;15;0;15;-654207127#1;0;0;0;528.27
0.00;3600.00;0_to_3600;1;1;1;-654207127#2;0;0;1;74.65
0.00;3600.00;0_to_3600;5;0;16;-654207127#3;0;0;11;123.11
0.00;3600.00;0_to_3600;3;3;15;-654207127#4;0;0;15;253.60
0.00;3600.00;0_to_3600;3;4;28;-654207127#5;0;0;29;362.67
0.00;3600.00;0_to_3600;4;3;4;-654207127#8;0;0;3;55.59
0.00;3600.00;0_to_3600;0;0;0;-690208690;0;0;0;0.00
0.00;3600.00;0_to_3600;3;2;203;-70724345#1;0;0;202;2257.56
0.00;3600.00;0_to_3600;3;2;58;-70724346#1;0;0;57;122.03
0.00;3600.00;0_to_3600;3;2;59;-70724346#3;0;0;58;353.79
0.00;3600.00;0_to_3600;2;1;51;-70724349;0;0;50;921.02
0.00;3600.00;0_to_3600;2;1;39;-7682863#1;0;0;27;25053.90
0.00;3600.00;0_to_3600;2;4;29;-7682866#1;0;0;27;3595.39
0.00;3600.00;0_to_3600;2;1;30;-7682866#3;0;0;29;127.38
0.00;3600.00;0_to_3600;6;8;7;-781650841;0;0;9;178.78
0.00;3600.00;0_to_3600;2;6;6;-781742860#0;0;0;10;275.18
